username,skill,experience,level,rank,time_retrieved
Zahzr,Overall,3856934697,3040,11014,2024-11-15 03:03:55
Zahzr,Attack,200000000,120,10221,2024-11-15 03:03:55
Zahzr,Defence,200000000,120,6490,2024-11-15 03:03:55
Zahzr,Strength,200000000,120,10049,2024-11-15 03:03:55
Zahzr,Constitution,200000000,120,7925,2024-11-15 03:03:55
Zahzr,Ranged,192445015,120,17658,2024-11-15 03:03:55
Zahzr,Prayer,131094024,120,10242,2024-11-15 03:03:55
Zahzr,Magic,200000000,120,12109,2024-11-15 03:03:55
Zahzr,Cooking,49472401,112,27620,2024-11-15 03:03:55
Zahzr,Woodcutting,194656948,120,7562,2024-11-15 03:03:55
Zahzr,Fletching,42987680,111,27794,2024-11-15 03:03:55
Zahzr,Fishing,93469277,118,29603,2024-11-15 03:03:55
Zahzr,Firemaking,134190770,120,12455,2024-11-15 03:03:55
Zahzr,Crafting,48633575,112,30475,2024-11-15 03:03:55
Zahzr,Smithing,106243343,120,17499,2024-11-15 03:03:55
Zahzr,Mining,114995954,120,19216,2024-11-15 03:03:55
Zahzr,Herblore,134833179,120,23623,2024-11-15 03:03:55
Zahzr,Agility,64593451,115,35232,2024-11-15 03:03:55
Zahzr,Thieving,107671317,120,24096,2024-11-15 03:03:55
Zahzr,Slayer,200000000,120,11977,2024-11-15 03:03:55
Zahzr,Farming,152383644,120,30177,2024-11-15 03:03:55
Zahzr,Runecrafting,107473767,120,14121,2024-11-15 03:03:55
Zahzr,Hunter,114942216,120,14662,2024-11-15 03:03:55
Zahzr,Construction,45946115,111,29777,2024-11-15 03:03:55
Zahzr,Summoning,30876149,107,44653,2024-11-15 03:03:55
Zahzr,Dungeoneering,119173545,120,33067,2024-11-15 03:03:55
Zahzr,Divination,70852327,116,25158,2024-11-15 03:03:55
Zahzr,Invention,200000000,150,11381,2024-11-15 03:03:55
Zahzr,Archaeology,200000000,120,20463,2024-11-15 03:03:55
Zahzr,Necromancy,200000000,120,12283,2024-11-15 03:03:55
ButtBandiit,Overall,2031289872,3038,26938,2024-11-15 03:03:55
ButtBandiit,Attack,43484674,111,59116,2024-11-15 03:03:55
ButtBandiit,Defence,99982014,119,57210,2024-11-15 03:03:55
ButtBandiit,Strength,43509337,111,56955,2024-11-15 03:03:55
ButtBandiit,Constitution,143699046,120,42714,2024-11-15 03:03:55
ButtBandiit,Ranged,65674980,115,58678,2024-11-15 03:03:55
